cell_line,drug,moa,n_cells,effect_size,effect_cosine,n_deg,replicate_noise,snr,nn_drug,nn_dist,isolation,ceiling_nir
CVCL_1717,18β-Glycyrrhetinic acid,unclear,10,2.614528904759834,0.12205774296805016,191,4.884983179799293,0.5352175859216072,Goserelin (acetate),3.8055677983089913,0.779033961477294,0.5975609756097561
CVCL_1717,8-Hydroxyquinoline,unclear,11,2.594205079609951,0.12955389441048104,191,4.536423316557994,0.5718613318428803,Goserelin (acetate),3.9775045902783783,0.8767930840493751,0.7195121951219512
CVCL_1717,AT7519,CDK inhibitor,12,2.486804217566037,0.10723813718881359,115,4.573434164820055,0.5437498667183465,Goserelin (acetate),3.820261395948843,0.8353157076874974,0.6707317073170732
CVCL_1717,Adagrasib,RAS inhibitor,14,2.422831125412992,0.0715659910668156,60,4.837822740235658,0.500810231276678,Goserelin (acetate),3.171078972931149,0.6554764701396812,0.34146341463414637
CVCL_1717,Adenine,unclear,13,2.525909838010564,0.12707448638488195,188,4.354616337017249,0.5800533600488714,Goserelin (acetate),3.9230938809100833,0.900904598083894,0.7682926829268293
CVCL_1717,Adenosine,unclear,10,2.9976826745004024,0.1190764346205242,133,5.185829662770496,0.5780526684131213,Goserelin (acetate),3.944163241611815,0.7605655214492084,0.43902439024390244
CVCL_1717,Aliskiren,unclear,10,2.9885684245475144,0.08295027606048366,103,4.9125917689005485,0.6083486202673756,Goserelin (acetate),3.783000044648678,0.7700619596761902,0.6829268292682927
CVCL_1717,Allantoin,unclear,8,2.99240593636473,0.16385752643747686,210,5.457919759516878,0.548268583675479,Goserelin (acetate),4.47062738405132,0.8191083015201838,0.4146341463414634
CVCL_1717,Almonertinib (hydrochloride),EGFR/ERBB inhibitor,11,2.779565226157731,0.09117526827115185,117,4.579487047075799,0.6069599493534116,Goserelin (acetate),3.6709022757196665,0.8015968247063167,0.7926829268292683
CVCL_1717,Amsacrine,DNA synthesis/repair inhibitor,20,2.0936575006187037,0.05761956560046955,46,3.4485590547538463,0.6071108156702703,Goserelin (acetate),2.8518765283873098,0.8269762770789706,0.9878048780487805
