cell_line,plate,drug,moa,n_cells,effect,perm_p,significant,n_deg,snr,ceiling_nir,identifiable,isolation,redundant,nn_drug
CVCL_1285,plate4,Quinestrol,unclear,57,,,False,,,0.9523809523809523,True,0.9613716381994611,True,Aliskiren
CVCL_1285,plate4,Trimetrexate,DNA synthesis/repair inhibitor,47,,,False,,,0.9047619047619048,True,0.9435950072251136,True,Terfenadine
CVCL_1285,plate4,Gemfibrozil,unclear,38,,,False,,,0.5714285714285714,False,0.804083755651332,True,Aliskiren
CVCL_1285,plate4,Tolcapone,unclear,43,,,False,,,0.6666666666666666,False,0.9147127232220955,True,Aliskiren
CVCL_1285,plate4,Terfenadine,unclear,64,,,False,,,0.9523809523809523,True,1.001849262844024,False,Aliskiren
CVCL_1285,plate4,Aliskiren,unclear,66,,,False,,,1.0,True,0.9686830959294565,True,Quinestrol
CVCL_1285,plate4,S-Adenosyl-L-methionine (disulfate tosylate),unclear,51,,,False,,,1.0,True,0.9340070142921674,True,Aliskiren
CVCL_1285,plate4,Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,41,,,False,,,0.7142857142857143,False,0.7971350656201219,True,Aliskiren
CVCL_1285,plate4,Elagolix sodium,unclear,38,,,False,,,0.5714285714285714,False,0.8539345993349383,True,Aliskiren
CVCL_1285,plate4,Rapamycin,MTOR inhibitor,37,,,False,,,0.6190476190476191,False,0.8169309453426098,True,Aliskiren
CVCL_1285,plate4,Tofacitinib (citrate),JAK/STAT inhibitor,30,,,False,,,0.0,False,0.8024694143939607,True,Terfenadine
CVCL_1285,plate4,Thymol,unclear,33,,,False,,,0.3333333333333333,False,0.8025590330185737,True,Aliskiren
CVCL_1285,plate4,Darinaparsin,unclear,36,,,False,,,0.3333333333333333,False,0.8513905855359515,True,Aliskiren
CVCL_1285,plate4,Azithromycin (hydrate),unclear,38,,,False,,,0.7142857142857143,False,0.8894223999954024,True,Aliskiren
CVCL_1285,plate4,Ritonavir,unclear,33,,,False,,,0.5714285714285714,False,0.9586100698486719,True,Aliskiren
CVCL_1285,plate4,Pentamidine (isethionate),unclear,38,,,False,,,0.38095238095238093,False,0.9161631558456097,True,Terfenadine
CVCL_1285,plate4,Adenosine,unclear,53,,,False,,,0.8095238095238095,True,0.9319181641990465,True,Aliskiren
CVCL_1285,plate4,Norepinephrine (hydrochloride),Adrenoceptor agonist,31,,,False,,,0.19047619047619047,False,0.8184126964236589,True,Terfenadine
CVCL_1285,plate4,Busulfan,DNA synthesis/repair inhibitor,30,,,False,,,0.42857142857142855,False,0.9123933880871059,True,Terfenadine
CVCL_1285,plate4,Rimonabant,unclear,33,,,False,,,0.5714285714285714,False,0.9042027251385041,True,Aliskiren
CVCL_1285,plate4,Isocorydine,unclear,30,,,False,,,0.47619047619047616,False,0.8169691327201084,True,Quinestrol
CVCL_1285,plate4,(R)-Verapamil (hydrochloride),unclear,31,,,False,,,0.6190476190476191,False,0.9220153734532138,True,Aliskiren
CVCL_1550,plate4,Quinestrol,unclear,53,,,False,,,1.0,True,1.0103632091429848,False,Adenosine
CVCL_1550,plate4,Trimetrexate,DNA synthesis/repair inhibitor,35,,,False,,,0.8181818181818182,True,0.9580164924243143,True,Quinestrol
CVCL_1550,plate4,Gemfibrozil,unclear,31,,,False,,,0.0,False,0.8554692209539063,True,Quinestrol
CVCL_1550,plate4,Tolcapone,unclear,40,,,False,,,0.8181818181818182,True,0.9400091507682058,True,Quinestrol
CVCL_1550,plate4,Terfenadine,unclear,41,,,False,,,0.9090909090909091,True,1.0201488905982397,False,Quinestrol
CVCL_1550,plate4,Aliskiren,unclear,31,,,False,,,0.36363636363636365,False,0.9163989006058962,True,Quinestrol
CVCL_1550,plate4,S-Adenosyl-L-methionine (disulfate tosylate),unclear,38,,,False,,,0.45454545454545453,False,0.9631082990353231,True,Terfenadine
CVCL_1550,plate4,Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,40,,,False,,,0.6363636363636364,False,0.8606131805228788,True,Quinestrol
CVCL_1550,plate4,Almonertinib (hydrochloride),EGFR/ERBB inhibitor,33,,,False,,,0.45454545454545453,False,0.9241994992657987,True,Quinestrol
CVCL_1550,plate4,Ritonavir,unclear,40,,,False,,,0.7272727272727273,False,0.923249303823532,True,Quinestrol
CVCL_1550,plate4,Adenosine,unclear,31,,,False,,,0.6363636363636364,False,0.8725252849155989,True,Quinestrol
CVCL_1550,plate4,Olanzapine,unclear,30,,,False,,,0.09090909090909091,False,0.8509857963216287,True,Quinestrol
CVCL_1119,plate4,Quinestrol,unclear,31,,,False,,,0.375,False,0.9541671400928408,True,Terfenadine
CVCL_1119,plate4,Trimetrexate,DNA synthesis/repair inhibitor,36,,,False,,,1.0,True,0.9977135322595395,True,Terfenadine
CVCL_1119,plate4,Gemfibrozil,unclear,35,,,False,,,0.75,False,0.9937858124752376,True,Terfenadine
CVCL_1119,plate4,18β-Glycyrrhetinic acid,unclear,32,,,False,,,0.875,True,1.000057672853981,False,Idarubicin (hydrochloride)
CVCL_1119,plate4,Tolcapone,unclear,36,,,False,,,0.125,False,1.0181051159517676,False,Idarubicin (hydrochloride)
CVCL_1119,plate4,Terfenadine,unclear,39,,,False,,,1.0,True,1.0055772728623609,False,Idarubicin (hydrochloride)
CVCL_1119,plate4,Idarubicin (hydrochloride),DNA synthesis/repair inhibitor,35,,,False,,,1.0,True,0.9994407981077192,True,Terfenadine
CVCL_1119,plate4,Resveratrol,unclear,32,,,False,,,0.25,False,0.9221118256816055,True,Terfenadine
