tier,cell_line,drug,n_cells,ceiling,model,linear,mean,snr,isolation,effect_size,n_deg,moa,nn_drug
tier2_unseen_drugs,CVCL_0459,Tolcapone,24,0.7941176470588235,0.35294117647058826,0.5294117647058824,0.3235294117647059,0.6006892987670056,0.9184817991347551,1.8749247179291881,71,unclear,Chlorhexidine (diacetate)
tier2_unseen_drugs,CVCL_0459,Aliskiren,23,0.8235294117647058,0.08823529411764706,0.7058823529411765,0.14705882352941177,0.6552347610476521,0.8953405768725876,2.1473324236941242,71,unclear,Canagliflozin (hemihydrate)
tier2_unseen_drugs,CVCL_0459,Almonertinib (hydrochloride),23,0.8529411764705882,0.17647058823529413,0.2647058823529412,0.38235294117647056,0.6373917356878555,0.9588330285280299,1.9659340969870245,81,EGFR/ERBB inhibitor,Tolcapone
tier2_unseen_drugs,CVCL_0459,Azithromycin (hydrate),26,1.0,0.9705882352941176,0.4411764705882353,0.8235294117647058,0.6130505344377087,0.887766012606989,1.879233422780965,82,unclear,Abiraterone acetate
tier2_unseen_drugs,CVCL_0459,Clonidine (hydrochloride),24,0.9411764705882353,1.0,0.9411764705882353,0.14705882352941177,0.7889037605995041,0.9731877684474434,2.457340632383265,57,Adrenoceptor agonist,palbociclib
tier2_unseen_drugs,CVCL_0459,Baicalin,22,0.4411764705882353,0.5882352941176471,1.0,0.08823529411764706,0.6561408854674775,0.8938928837414586,2.194491486772186,55,unclear,Vitamin K4
tier2_unseen_drugs,CVCL_0459,Anethole trithione,22,0.3235294117647059,0.6764705882352942,0.9705882352941176,0.0,0.7467740298320058,0.973461155947493,2.436917327044183,64,unclear,Anastrozole
tier2_unseen_drugs,CVCL_0459,Fenofibrate,24,0.8235294117647058,0.6764705882352942,0.38235294117647056,0.5,0.6210182857544859,0.9266138543365635,1.8627125719951518,69,unclear,Aprepitant
tier2_unseen_drugs,CVCL_0459,Verteporfin,27,0.9117647058823529,0.4411764705882353,0.3235294117647059,0.3235294117647059,0.6402038585225445,0.9775138134606561,1.9055764945438216,61,unclear,Gallic acid
tier2_unseen_drugs,CVCL_0459,Dexmedetomidine,22,0.6176470588235294,0.35294117647058826,0.6176470588235294,0.14705882352941177,0.6077269413636381,0.9124275968420876,1.9642838308258637,76,Adrenoceptor agonist,Adenine
tier2_unseen_drugs,CVCL_0459,Mozavaptan,26,0.9411764705882353,0.9117647058823529,0.35294117647058826,0.5882352941176471,0.6293810754402738,0.9708568611350412,1.838554769176587,67,unclear,S-Adenosyl-L-methionine (disulfate tosylate)
tier2_unseen_drugs,CVCL_0459,Eplerenone,24,0.8823529411764706,0.5882352941176471,0.0,0.3235294117647059,0.59428666593574,0.8963409213516198,1.7694748820317825,89,unclear,S-Adenosyl-L-methionine (disulfate tosylate)
tier2_unseen_drugs,CVCL_0459,Sivelestat (sodium tetrahydrate),30,0.9705882352941176,0.17647058823529413,0.14705882352941177,0.6470588235294118,0.6668693572002766,0.974262483840046,1.8298853282115235,49,unclear,Gallic acid
tier2_unseen_drugs,CVCL_0459,Tetracycline (hydrochloride),25,0.6176470588235294,0.029411764705882353,0.14705882352941177,0.29411764705882354,0.5915991106700556,0.9544223778355881,1.826720224006269,84,unclear,Fenofibrate
tier2_unseen_drugs,CVCL_0459,Berbamine (dihydrochloride),25,0.9411764705882353,0.20588235294117646,0.29411764705882354,0.3235294117647059,0.6504736950070187,0.9599018710705047,1.9254735638046505,71,unclear,S-Adenosyl-L-methionine (disulfate tosylate)
tier2_unseen_drugs,CVCL_0459,Budesonide,20,0.7058823529411765,0.029411764705882353,0.8823529411764706,0.0,0.676310716497047,0.9294645029576202,2.4421534121271113,80,Glucocorticoid receptor agonist,Carbamazepine
tier2_unseen_drugs,CVCL_0459,Valdecoxib,25,0.9117647058823529,0.7941176470588235,0.5294117647058824,0.3235294117647059,0.6695790746084486,0.9963862692317026,1.9889378907076878,67,Cyclooxygenase inhibitor,Canagliflozin (hemihydrate)
tier2_unseen_drugs,CVCL_0459,Canagliflozin (hemihydrate),30,0.8823529411764706,0.8235294117647058,0.11764705882352941,0.9411764705882353,0.5862541263167074,0.9650520949797226,1.5882820807216804,58,Glucose transporter inhibitor,Adenine
tier2_unseen_drugs,CVCL_0459,Omeprazole,30,0.7647058823529411,0.5882352941176471,0.5294117647058824,0.8529411764705882,0.6687062143954295,1.0119765813485955,1.8165383494966387,51,unclear,palbociclib
tier2_unseen_drugs,CVCL_0459,Carbamazepine,24,0.7647058823529411,0.5588235294117647,0.6470588235294118,0.5,0.6784154813433335,0.9745588503715535,1.9688395335158957,80,HDAC inhibitor,Abiraterone acetate
tier2_unseen_drugs,CVCL_0459,Abiraterone acetate,30,1.0,0.6176470588235294,0.08823529411764706,0.7058823529411765,0.6000004256873915,0.9622324295452986,1.6845330537820464,52,unclear,Canagliflozin (hemihydrate)
tier2_unseen_drugs,CVCL_0459,Proglumide,22,0.5,0.5,0.058823529411764705,0.14705882352941177,0.6206001395459865,0.9166999613932647,1.873777204407531,85,unclear,Canagliflozin (hemihydrate)
tier2_unseen_drugs,CVCL_0459,Delamanid,23,0.6176470588235294,0.14705882352941177,0.20588235294117646,0.3235294117647059,0.6447954547379375,0.9692316121103923,1.9424779129373828,92,unclear,Omeprazole
tier2_unseen_drugs,CVCL_0459,Citalopram (hydrobromide),30,1.0,0.7058823529411765,0.23529411764705882,0.7058823529411765,0.6599836953798764,0.9995431828671949,1.8317557195160856,50,unclear,Canagliflozin (hemihydrate)
tier2_unseen_drugs,CVCL_0459,Vitamin K4,26,0.8529411764705882,1.0,0.8235294117647058,0.7058823529411765,0.6426175733871768,0.9371479480015384,1.9082521709446467,61,unclear,Anastrozole
tier2_unseen_drugs,CVCL_0459,Aprepitant,30,1.0,0.7647058823529411,0.5588235294117647,1.0,0.6420175831424894,1.0453324273134312,1.7051302214837343,56,unclear,Canagliflozin (hemihydrate)
tier2_unseen_drugs,CVCL_0459,Estrone sulfate (potassium),26,0.9705882352941176,0.23529411764705882,0.029411764705882353,0.5588235294117647,0.602851042687709,0.9399437289223386,1.7515211527623158,84,unclear,Canagliflozin (hemihydrate)
tier2_unseen_drugs,CVCL_0459,Sonidegib,21,0.7941176470588235,0.11764705882352941,0.8529411764705882,0.08823529411764706,0.7039732781947652,0.8658943282219572,2.4546168873367193,60,Sonic inhibitor,Omeprazole
tier2_unseen_drugs,CVCL_0459,DTP3,24,0.7352941176470589,0.9411764705882353,0.7647058823529411,0.14705882352941177,0.7361956376607639,0.9751464082689636,2.2664165786160573,64,unclear,Omeprazole
tier2_unseen_drugs,CVCL_0459,Erdafitinib,27,1.0,0.7352941176470589,0.6764705882352942,0.5588235294117647,0.645557704304531,0.9347502331785459,1.930425905968331,51,Other TK inhibitor,Gallic acid
tier2_unseen_drugs,CVCL_0459,palbociclib,30,0.8823529411764706,0.7058823529411765,0.9117647058823529,0.5882352941176471,0.6968391116351317,1.045409535289791,1.8324230048819166,46,CDK inhibitor,Omeprazole
tier2_unseen_drugs,CVCL_0459,TAK-901,21,0.6176470588235294,0.029411764705882353,0.5882352941176471,0.0,0.7278702537074057,0.9253214518589804,2.283055445523806,79,unclear,palbociclib
tier2_unseen_drugs,CVCL_0459,Vemurafenib,22,0.7941176470588235,0.058823529411764705,0.7647058823529411,0.20588235294117646,0.657119124697676,0.9512068680506405,2.039430877938692,64,RAF inhibitor,Tolcapone
tier2_unseen_drugs,CVCL_0459,Anastrozole,29,0.9705882352941176,0.8235294117647058,0.7941176470588235,0.5882352941176471,0.6963736828012368,0.9556620373133314,2.0278197166359218,57,unclear,Vitamin K4
tier2_unseen_drugs,CVCL_0459,HI-TOPK-032,23,0.7352941176470589,0.5,0.4117647058823529,0.3235294117647059,0.645769002025553,0.9129157316726463,2.0072955872632736,64,unclear,palbociclib
tier2_unseen_drugs,CVCL_0480,Naproxen,30,0.8888888888888888,0.8333333333333334,0.6111111111111112,0.5,0.6866377606527784,0.8876805130309008,1.955758336892913,106,Cyclooxygenase inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Canagliflozin,24,0.8888888888888888,0.9444444444444444,0.0,0.1111111111111111,0.6878975236711008,0.9117391539955334,2.2225616412775593,167,Glucose transporter inhibitor,ULK-101
tier2_unseen_drugs,CVCL_0480,Dexmedetomidine,24,0.8888888888888888,0.7777777777777778,0.3888888888888889,0.2222222222222222,0.5962262366678297,0.8360424574771802,1.8797673425208479,91,Adrenoceptor agonist,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",30,1.0,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.6682954318249094,0.9490712985091859,1.9052250267224093,102,Glucose transporter inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Mozavaptan,25,0.8888888888888888,0.3888888888888889,0.1111111111111111,0.16666666666666666,0.6722880054966828,0.9327328694024677,2.0961848584017457,145,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Tetracycline (hydrochloride),27,0.8888888888888888,0.9444444444444444,0.05555555555555555,0.5,0.5861119470246575,0.8807403429214228,1.8391031374485012,116,unclear,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)"
tier2_unseen_drugs,CVCL_0480,Berbamine (dihydrochloride),21,0.7222222222222222,0.2222222222222222,0.5555555555555556,0.16666666666666666,0.6123975718553233,0.884795901572759,2.0119314636000674,81,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Valdecoxib,23,0.9444444444444444,0.4444444444444444,0.7222222222222222,0.16666666666666666,0.6710952632301158,0.8458546990234742,2.10256086565563,73,Cyclooxygenase inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Ataluren,23,0.8333333333333334,0.4444444444444444,0.6666666666666666,0.6111111111111112,0.5717958342442688,0.8211441492639864,1.7291602364292404,97,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Benztropine (mesylate),21,0.8333333333333334,0.8888888888888888,0.3333333333333333,0.4444444444444444,0.4950353361864419,0.7857073697229741,1.8411351883786642,152,unclear,ULK-101
tier2_unseen_drugs,CVCL_0480,Carbamazepine,26,0.8888888888888888,0.9444444444444444,0.8333333333333334,0.3333333333333333,0.5845619317707594,0.8068905323518915,1.8238106082154084,91,HDAC inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Abiraterone acetate,23,0.8333333333333334,0.5,0.4444444444444444,0.2777777777777778,0.6415826767548062,0.88058107328583,2.0205747746614082,152,unclear,ULK-101
tier2_unseen_drugs,CVCL_0480,Proglumide,23,0.6666666666666666,0.05555555555555555,0.2222222222222222,0.16666666666666666,0.624267969439911,0.8881975504643482,1.9610590064836793,150,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Delamanid,23,0.8333333333333334,0.6111111111111112,0.5,0.5,0.5078350491664684,0.8023515205406347,1.7406653709561575,111,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Vitamin K4,20,0.8888888888888888,0.05555555555555555,0.8888888888888888,0.05555555555555555,0.7009379903441713,0.9032473254821499,2.3215389840921126,96,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Aprepitant,24,0.8888888888888888,0.6666666666666666,0.7777777777777778,0.3333333333333333,0.6515994539133695,0.8582390746791924,1.9130542376099766,126,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Estrone sulfate (potassium),25,0.8333333333333334,0.3888888888888889,0.2777777777777778,0.2777777777777778,0.6593369448611608,0.9108019957524792,2.0626138512527605,131,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,Sonidegib,24,1.0,0.1111111111111111,0.9444444444444444,0.05555555555555555,0.6966336193571513,0.855046278789621,2.1604623846704833,80,Sonic inhibitor,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_0480,DTP3,21,0.8888888888888888,0.0,1.0,0.0,0.7524030101904313,0.9147436924779816,2.598271164613977,95,unclear,Procainamide (hydrochloride)
tier2_unseen_drugs,CVCL_1285,Anethole trithione,20,1.0,0.5,1.0,0.0,0.6296272952083868,0.7896324447557825,2.1202915551693207,80,unclear,Docetaxel
tier2_unseen_drugs,CVCL_1285,Dexmedetomidine,25,1.0,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.605876363920427,0.8821432490209474,1.7671603691276117,79,Adrenoceptor agonist,Thymol
tier2_unseen_drugs,CVCL_1285,"Dapagliflozin ((2S)-1,2-propanediol, hydrate)",20,1.0,0.5,0.0,0.0,0.6755842672054855,0.8941833069208224,2.0825899285190284,156,Glucose transporter inhibitor,Thymol
tier2_unseen_drugs,CVCL_1285,Docetaxel (Trihydrate),26,1.0,1.0,0.6666666666666666,0.3333333333333333,0.7196831366079672,0.9764918904580728,2.019434472801162,93,Microtubule inhibitor,Thymol
tier2_unseen_drugs,CVCL_1285,Berbamine (dihydrochloride),20,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.5870235768489527,0.8029325050181092,1.8396900120678006,98,unclear,Thymol
tier2_unseen_drugs,CVCL_1285,Budesonide,23,1.0,0.16666666666666666,0.8333333333333334,0.0,0.7940097512356112,1.0110078779222877,2.5546309387798782,109,Glucocorticoid receptor agonist,Docetaxel
tier2_unseen_drugs,CVCL_1285,Benztropine (mesylate),23,1.0,0.8333333333333334,0.5,0.3333333333333333,0.6236655935251094,0.8434723590954474,1.8375705378836764,77,unclear,Thymol
