tier,cell_line,drug,n_cells,ceiling,model,linear,mean,snr,isolation,effect_size,n_deg,moa,nn_drug
tier2_unseen_drugs,CVCL_C466,Tolcapone,11,1.0,0.5,0.3333333333333333,0.0,,,,,,
tier2_unseen_drugs,CVCL_C466,Aliskiren,9,0.6666666666666666,0.6666666666666666,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_C466,Azithromycin (hydrate),10,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.0,,,,,,
tier2_unseen_drugs,CVCL_C466,(R)-Verapamil (hydrochloride),8,0.3333333333333333,0.16666666666666666,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_C466,Clonidine (hydrochloride),13,0.3333333333333333,1.0,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_C466,Baicalin,10,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_C466,Anethole trithione,8,0.0,0.0,0.6666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_0293,Tolcapone,12,0.6,0.6,0.3,0.0,,,,,,
tier2_unseen_drugs,CVCL_0293,Aliskiren,17,0.9,1.0,0.6,0.8,,,,,,
tier2_unseen_drugs,CVCL_0293,Saquinavir,14,0.7,0.6,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0293,Almonertinib (hydrochloride),17,0.8,0.9,0.3,0.6,,,,,,
tier2_unseen_drugs,CVCL_0293,Azithromycin (hydrate),15,1.0,0.9,0.5,0.6,,,,,,
tier2_unseen_drugs,CVCL_0293,(R)-Verapamil (hydrochloride),10,0.0,0.0,0.8,0.0,,,,,,
tier2_unseen_drugs,CVCL_0293,Berbamine,13,0.7,0.1,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0293,Baicalin,16,0.7,0.5,0.9,0.3,,,,,,
tier2_unseen_drugs,CVCL_0293,Lipoic acid,10,0.2,0.3,0.1,0.0,,,,,,
tier2_unseen_drugs,CVCL_0293,Anethole trithione,16,0.8,0.3,0.7,0.3,,,,,,
tier2_unseen_drugs,CVCL_0293,Clonidine (hydrochloride),13,0.5,0.4,0.4,0.0,,,,,,
tier2_unseen_drugs,CVCL_1517,Tolcapone,12,1.0,0.625,0.375,0.375,,,,,,
tier2_unseen_drugs,CVCL_1517,Aliskiren,16,1.0,1.0,0.5,0.625,,,,,,
tier2_unseen_drugs,CVCL_1517,Saquinavir,13,0.625,1.0,0.0,0.125,,,,,,
tier2_unseen_drugs,CVCL_1517,Almonertinib (hydrochloride),8,0.25,0.5,0.125,0.0,,,,,,
tier2_unseen_drugs,CVCL_1517,Clonidine (hydrochloride),10,0.5,0.125,1.0,0.125,,,,,,
tier2_unseen_drugs,CVCL_1517,Berbamine,12,0.75,1.0,0.25,0.25,,,,,,
tier2_unseen_drugs,CVCL_1517,Baicalin,10,0.5,0.125,0.75,0.125,,,,,,
tier2_unseen_drugs,CVCL_1517,Lipoic acid,10,0.375,0.375,0.625,0.125,,,,,,
tier2_unseen_drugs,CVCL_1517,Anethole trithione,9,0.375,0.0,0.875,0.0,,,,,,
tier2_unseen_drugs,CVCL_0459,Tolcapone,24,0.9,0.7,0.4,0.7,,,,,,
tier2_unseen_drugs,CVCL_0459,Aliskiren,23,1.0,0.6,0.5,0.6,,,,,,
tier2_unseen_drugs,CVCL_0459,Saquinavir,17,0.3,0.2,0.2,0.0,,,,,,
tier2_unseen_drugs,CVCL_0459,Almonertinib (hydrochloride),23,0.8,0.7,0.6,0.4,,,,,,
tier2_unseen_drugs,CVCL_0459,Azithromycin (hydrate),26,1.0,0.7,0.3,0.7,,,,,,
tier2_unseen_drugs,CVCL_0459,(R)-Verapamil (hydrochloride),19,0.6,0.5,0.0,0.2,,,,,,
tier2_unseen_drugs,CVCL_0459,Clonidine (hydrochloride),24,1.0,1.0,0.9,0.2,,,,,,
tier2_unseen_drugs,CVCL_0459,Berbamine,15,0.5,0.0,0.1,0.0,,,,,,
tier2_unseen_drugs,CVCL_0459,Baicalin,22,0.1,0.2,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0459,Lipoic acid,19,0.8,0.3,0.7,0.2,,,,,,
tier2_unseen_drugs,CVCL_0459,Anethole trithione,22,0.6,0.3,0.8,0.2,,,,,,
tier2_unseen_drugs,CVCL_0332,Aliskiren,10,0.5,0.5,0.75,0.0,,,,,,
tier2_unseen_drugs,CVCL_0332,Almonertinib (hydrochloride),8,0.25,0.0,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0332,Berbamine,13,1.0,1.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0332,Baicalin,8,0.25,0.75,0.25,0.0,,,,,,
tier2_unseen_drugs,CVCL_0332,Clonidine (hydrochloride),11,1.0,0.5,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_0334,Tolcapone,11,1.0,1.0,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_0334,Almonertinib (hydrochloride),9,0.0,0.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0334,Clonidine (hydrochloride),8,1.0,0.5,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0359,Tolcapone,18,0.875,1.0,0.75,0.75,,,,,,
tier2_unseen_drugs,CVCL_0359,Aliskiren,10,0.25,0.5,0.625,0.0,,,,,,
tier2_unseen_drugs,CVCL_0359,Saquinavir,14,0.625,0.75,0.0,0.125,,,,,,
tier2_unseen_drugs,CVCL_0359,Almonertinib (hydrochloride),9,0.0,0.0,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0359,Azithromycin (hydrate),11,0.25,0.5,0.125,0.0,,,,,,
tier2_unseen_drugs,CVCL_0359,(R)-Verapamil (hydrochloride),19,1.0,0.875,0.5,0.75,,,,,,
tier2_unseen_drugs,CVCL_0359,Berbamine,19,0.875,0.625,0.375,0.75,,,,,,
tier2_unseen_drugs,CVCL_0359,Baicalin,11,0.375,0.5,0.875,0.125,,,,,,
tier2_unseen_drugs,CVCL_0359,Anethole trithione,11,0.375,0.375,0.25,0.125,,,,,,
tier2_unseen_drugs,CVCL_0480,Tolcapone,12,0.6,0.5,1.0,0.4,,,,,,
tier2_unseen_drugs,CVCL_0480,Aliskiren,15,0.9,0.9,0.7,0.8,,,,,,
tier2_unseen_drugs,CVCL_0480,Saquinavir,13,0.9,0.7,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0480,Almonertinib (hydrochloride),10,0.3,0.4,0.4,0.0,,,,,,
tier2_unseen_drugs,CVCL_0480,Azithromycin (hydrate),10,0.2,0.3,0.1,0.0,,,,,,
tier2_unseen_drugs,CVCL_0480,(R)-Verapamil (hydrochloride),13,0.5,0.2,0.9,0.2,,,,,,
tier2_unseen_drugs,CVCL_0480,Berbamine,15,0.6,0.6,0.7,0.4,,,,,,
tier2_unseen_drugs,CVCL_0480,Baicalin,18,1.0,1.0,0.2,0.6,,,,,,
tier2_unseen_drugs,CVCL_0480,Lipoic acid,18,1.0,0.8,0.5,0.8,,,,,,
tier2_unseen_drugs,CVCL_0480,Anethole trithione,11,0.4,0.0,0.3,0.0,,,,,,
tier2_unseen_drugs,CVCL_0480,Clonidine (hydrochloride),10,0.2,0.1,0.6,0.0,,,,,,
tier2_unseen_drugs,CVCL_1478,Tolcapone,8,0.1111111111111111,0.4444444444444444,0.8888888888888888,0.0,,,,,,
tier2_unseen_drugs,CVCL_1478,Aliskiren,9,0.4444444444444444,0.3333333333333333,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1478,Saquinavir,10,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.1111111111111111,,,,,,
tier2_unseen_drugs,CVCL_1478,Almonertinib (hydrochloride),9,0.4444444444444444,0.1111111111111111,0.5555555555555556,0.0,,,,,,
tier2_unseen_drugs,CVCL_1478,Azithromycin (hydrate),13,0.8888888888888888,1.0,0.7777777777777778,0.7777777777777778,,,,,,
tier2_unseen_drugs,CVCL_1478,(R)-Verapamil (hydrochloride),9,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.0,,,,,,
tier2_unseen_drugs,CVCL_1478,Clonidine (hydrochloride),17,1.0,1.0,0.6666666666666666,0.7777777777777778,,,,,,
tier2_unseen_drugs,CVCL_1478,Berbamine,12,1.0,0.7777777777777778,1.0,0.7777777777777778,,,,,,
tier2_unseen_drugs,CVCL_1478,Baicalin,8,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.0,,,,,,
tier2_unseen_drugs,CVCL_1478,Lipoic acid,9,0.3333333333333333,0.4444444444444444,0.3333333333333333,0.2222222222222222,,,,,,
tier2_unseen_drugs,CVCL_1547,Tolcapone,9,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.0,,,,,,
tier2_unseen_drugs,CVCL_1547,Saquinavir,9,0.7142857142857143,0.8571428571428571,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1547,Almonertinib (hydrochloride),16,1.0,1.0,0.7142857142857143,0.8571428571428571,,,,,,
tier2_unseen_drugs,CVCL_1547,Clonidine (hydrochloride),14,0.8571428571428571,0.42857142857142855,0.8571428571428571,0.0,,,,,,
tier2_unseen_drugs,CVCL_1547,Berbamine,8,0.7142857142857143,0.42857142857142855,0.2857142857142857,0.0,,,,,,
tier2_unseen_drugs,CVCL_1547,Baicalin,9,0.42857142857142855,0.2857142857142857,0.5714285714285714,0.0,,,,,,
tier2_unseen_drugs,CVCL_1547,Lipoic acid,9,0.14285714285714285,0.0,0.42857142857142855,0.0,,,,,,
tier2_unseen_drugs,CVCL_1547,Anethole trithione,15,0.8571428571428571,0.5714285714285714,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0399,Tolcapone,14,0.9,0.6,0.3,0.2,,,,,,
tier2_unseen_drugs,CVCL_0399,Aliskiren,15,0.2,0.2,1.0,0.2,,,,,,
tier2_unseen_drugs,CVCL_0399,Saquinavir,15,0.5,0.5,0.6,0.3,,,,,,
tier2_unseen_drugs,CVCL_0399,Almonertinib (hydrochloride),18,0.8,0.8,0.9,0.4,,,,,,
tier2_unseen_drugs,CVCL_0399,Azithromycin (hydrate),8,0.1,0.0,0.4,0.0,,,,,,
tier2_unseen_drugs,CVCL_0399,(R)-Verapamil (hydrochloride),13,0.4,0.8,0.2,0.2,,,,,,
tier2_unseen_drugs,CVCL_0399,Berbamine,16,0.7,0.8,0.7,0.2,,,,,,
tier2_unseen_drugs,CVCL_0399,Baicalin,13,0.7,0.2,0.1,0.2,,,,,,
tier2_unseen_drugs,CVCL_0399,Lipoic acid,21,1.0,1.0,0.4,1.0,,,,,,
tier2_unseen_drugs,CVCL_0399,Anethole trithione,11,0.1,0.1,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0399,Clonidine (hydrochloride),16,0.8,0.6,0.8,0.2,,,,,,
tier2_unseen_drugs,CVCL_0504,Tolcapone,8,0.1111111111111111,0.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0504,Aliskiren,12,0.5555555555555556,0.3333333333333333,0.4444444444444444,0.6666666666666666,,,,,,
tier2_unseen_drugs,CVCL_0504,Saquinavir,13,0.5555555555555556,0.4444444444444444,0.1111111111111111,0.1111111111111111,,,,,,
tier2_unseen_drugs,CVCL_0504,Almonertinib (hydrochloride),10,0.7777777777777778,0.4444444444444444,0.7777777777777778,0.0,,,,,,
tier2_unseen_drugs,CVCL_0504,Azithromycin (hydrate),12,0.6666666666666666,0.7777777777777778,0.6666666666666666,0.5555555555555556,,,,,,
tier2_unseen_drugs,CVCL_0504,(R)-Verapamil (hydrochloride),9,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.0,,,,,,
tier2_unseen_drugs,CVCL_0504,Berbamine,18,1.0,1.0,0.8888888888888888,0.7777777777777778,,,,,,
tier2_unseen_drugs,CVCL_0504,Baicalin,15,0.8888888888888888,1.0,0.3333333333333333,0.6666666666666666,,,,,,
tier2_unseen_drugs,CVCL_0504,Lipoic acid,9,0.0,0.3333333333333333,0.5555555555555556,0.0,,,,,,
tier2_unseen_drugs,CVCL_0504,Anethole trithione,13,0.5555555555555556,0.2222222222222222,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1119,Tolcapone,12,0.8,0.8,0.8,0.2,,,,,,
tier2_unseen_drugs,CVCL_1119,Almonertinib (hydrochloride),9,0.0,0.0,0.4,0.0,,,,,,
tier2_unseen_drugs,CVCL_1119,Azithromycin (hydrate),12,1.0,1.0,0.6,0.2,,,,,,
tier2_unseen_drugs,CVCL_1119,(R)-Verapamil (hydrochloride),11,0.4,0.4,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1119,Baicalin,12,0.6,0.6,0.2,0.0,,,,,,
tier2_unseen_drugs,CVCL_1119,Anethole trithione,10,0.4,0.6,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1550,Tolcapone,15,0.5,0.5,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1550,Saquinavir,12,0.8333333333333334,1.0,0.16666666666666666,0.3333333333333333,,,,,,
tier2_unseen_drugs,CVCL_1550,Almonertinib (hydrochloride),14,1.0,0.8333333333333334,0.8333333333333334,0.5,,,,,,
tier2_unseen_drugs,CVCL_1550,Azithromycin (hydrate),9,0.0,0.16666666666666666,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1550,Berbamine,10,1.0,0.6666666666666666,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_1550,Baicalin,9,0.3333333333333333,0.0,0.3333333333333333,0.0,,,,,,
tier2_unseen_drugs,CVCL_1550,Lipoic acid,8,0.0,0.5,0.6666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_1285,Tolcapone,13,0.7142857142857143,0.7142857142857143,0.5714285714285714,0.0,,,,,,
tier2_unseen_drugs,CVCL_1285,Almonertinib (hydrochloride),13,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.0,,,,,,
tier2_unseen_drugs,CVCL_1285,Azithromycin (hydrate),14,1.0,0.42857142857142855,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1285,(R)-Verapamil (hydrochloride),14,1.0,0.8571428571428571,0.2857142857142857,0.0,,,,,,
tier2_unseen_drugs,CVCL_1285,Berbamine,11,0.0,0.42857142857142855,0.14285714285714285,0.0,,,,,,
tier2_unseen_drugs,CVCL_1285,Baicalin,11,0.0,0.0,0.8571428571428571,0.0,,,,,,
tier2_unseen_drugs,CVCL_1285,Lipoic acid,15,0.7142857142857143,0.8571428571428571,0.0,0.14285714285714285,,,,,,
tier2_unseen_drugs,CVCL_1285,Anethole trithione,20,1.0,1.0,0.7142857142857143,0.8571428571428571,,,,,,
tier2_unseen_drugs,CVCL_1495,Aliskiren,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,,,,,
tier2_unseen_drugs,CVCL_1495,(R)-Verapamil (hydrochloride),8,0.3333333333333333,0.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1495,Lipoic acid,9,0.6666666666666666,0.0,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1495,Clonidine (hydrochloride),10,1.0,1.0,0.6666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_0546,Tolcapone,24,0.4,0.4,0.5,0.4,,,,,,
tier2_unseen_drugs,CVCL_0546,Aliskiren,30,0.9,0.6,0.7,0.4,,,,,,
tier2_unseen_drugs,CVCL_0546,Saquinavir,24,0.6,0.1,0.1,0.1,,,,,,
tier2_unseen_drugs,CVCL_0546,Almonertinib (hydrochloride),28,0.8,1.0,0.3,0.5,,,,,,
tier2_unseen_drugs,CVCL_0546,Azithromycin (hydrate),30,1.0,0.7,0.2,0.4,,,,,,
tier2_unseen_drugs,CVCL_0546,(R)-Verapamil (hydrochloride),15,0.0,0.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0546,Clonidine (hydrochloride),29,0.9,0.4,1.0,0.1,,,,,,
tier2_unseen_drugs,CVCL_0546,Berbamine,29,1.0,0.4,0.6,0.4,,,,,,
tier2_unseen_drugs,CVCL_0546,Baicalin,23,0.2,0.5,0.8,0.1,,,,,,
tier2_unseen_drugs,CVCL_0546,Lipoic acid,28,1.0,0.9,0.4,0.5,,,,,,
tier2_unseen_drugs,CVCL_0546,Anethole trithione,22,0.9,0.3,0.9,0.1,,,,,,
tier2_unseen_drugs,CVCL_0371,Tolcapone,10,0.2222222222222222,0.4444444444444444,0.6666666666666666,0.2222222222222222,,,,,,
tier2_unseen_drugs,CVCL_0371,Aliskiren,10,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.2222222222222222,,,,,,
tier2_unseen_drugs,CVCL_0371,Saquinavir,16,1.0,1.0,0.0,0.8888888888888888,,,,,,
tier2_unseen_drugs,CVCL_0371,Almonertinib (hydrochloride),14,1.0,0.8888888888888888,0.5555555555555556,0.7777777777777778,,,,,,
tier2_unseen_drugs,CVCL_0371,Azithromycin (hydrate),12,0.6666666666666666,0.4444444444444444,0.1111111111111111,0.1111111111111111,,,,,,
tier2_unseen_drugs,CVCL_0371,(R)-Verapamil (hydrochloride),14,1.0,0.8888888888888888,0.2222222222222222,0.2222222222222222,,,,,,
tier2_unseen_drugs,CVCL_0371,Clonidine (hydrochloride),11,0.1111111111111111,0.1111111111111111,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0371,Baicalin,9,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.0,,,,,,
tier2_unseen_drugs,CVCL_0371,Lipoic acid,11,0.3333333333333333,0.3333333333333333,0.7777777777777778,0.1111111111111111,,,,,,
tier2_unseen_drugs,CVCL_0371,Anethole trithione,10,0.6666666666666666,0.2222222222222222,0.8888888888888888,0.1111111111111111,,,,,,
tier2_unseen_drugs,CVCL_1635,Saquinavir,9,0.3333333333333333,0.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1635,Azithromycin (hydrate),8,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,,,,,,
tier2_unseen_drugs,CVCL_1635,Clonidine (hydrochloride),10,1.0,0.6666666666666666,0.6666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_1635,Lipoic acid,10,0.0,0.6666666666666666,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0179,Aliskiren,8,0.5,0.25,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0179,Azithromycin (hydrate),8,0.25,0.5,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0179,(R)-Verapamil (hydrochloride),8,0.75,0.25,0.25,0.0,,,,,,
tier2_unseen_drugs,CVCL_0179,Berbamine,8,0.25,0.25,0.75,0.0,,,,,,
tier2_unseen_drugs,CVCL_0179,Baicalin,11,1.0,1.0,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_0023,Tolcapone,11,0.1,0.1,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_0023,Aliskiren,10,0.7,0.7,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0023,Saquinavir,13,0.8,0.8,0.2,0.5,,,,,,
tier2_unseen_drugs,CVCL_0023,Almonertinib (hydrochloride),9,0.0,0.7,0.6,0.0,,,,,,
tier2_unseen_drugs,CVCL_0023,Azithromycin (hydrate),11,0.2,0.4,0.1,0.3,,,,,,
tier2_unseen_drugs,CVCL_0023,(R)-Verapamil (hydrochloride),14,1.0,0.9,0.0,0.8,,,,,,
tier2_unseen_drugs,CVCL_0023,Berbamine,8,0.6,0.0,0.3,0.0,,,,,,
tier2_unseen_drugs,CVCL_0023,Baicalin,10,0.4,0.2,0.7,0.1,,,,,,
tier2_unseen_drugs,CVCL_0023,Lipoic acid,12,0.9,0.8,0.4,0.5,,,,,,
tier2_unseen_drugs,CVCL_0023,Anethole trithione,11,0.5,0.1,0.8,0.0,,,,,,
tier2_unseen_drugs,CVCL_0023,Clonidine (hydrochloride),12,0.7,0.6,0.9,0.4,,,,,,
tier2_unseen_drugs,CVCL_0366,Tolcapone,9,0.0,0.3333333333333333,0.3333333333333333,0.0,,,,,,
tier2_unseen_drugs,CVCL_0366,Saquinavir,8,0.6666666666666666,0.6666666666666666,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0366,(R)-Verapamil (hydrochloride),13,1.0,1.0,0.6666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_0366,Anethole trithione,10,0.6666666666666666,0.3333333333333333,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1693,Tolcapone,8,0.5,0.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1693,(R)-Verapamil (hydrochloride),8,0.5,0.5,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_1693,Clonidine (hydrochloride),10,1.0,0.5,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1381,Tolcapone,9,0.25,0.25,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1381,Aliskiren,12,0.75,1.0,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_1381,Azithromycin (hydrate),12,1.0,0.25,0.75,0.0,,,,,,
tier2_unseen_drugs,CVCL_1381,Berbamine,10,0.75,0.5,0.25,0.0,,,,,,
tier2_unseen_drugs,CVCL_1381,Anethole trithione,8,0.0,0.25,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0131,Tolcapone,15,0.5,0.8333333333333334,0.8333333333333334,0.0,,,,,,
tier2_unseen_drugs,CVCL_0131,Saquinavir,13,1.0,0.6666666666666666,0.16666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_0131,Almonertinib (hydrochloride),12,0.3333333333333333,1.0,0.6666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_0131,(R)-Verapamil (hydrochloride),13,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.0,,,,,,
tier2_unseen_drugs,CVCL_0131,Berbamine,12,1.0,0.3333333333333333,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_0131,Lipoic acid,12,0.0,1.0,0.16666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_0131,Anethole trithione,14,0.0,0.3333333333333333,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1731,Aliskiren,12,0.5,1.0,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_1731,Saquinavir,12,1.0,1.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1731,Almonertinib (hydrochloride),14,1.0,1.0,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0320,Aliskiren,13,1.0,1.0,0.3333333333333333,0.0,,,,,,
tier2_unseen_drugs,CVCL_0320,Saquinavir,8,0.16666666666666666,0.0,0.6666666666666666,0.0,,,,,,
tier2_unseen_drugs,CVCL_0320,Almonertinib (hydrochloride),8,0.0,0.0,0.8333333333333334,0.0,,,,,,
tier2_unseen_drugs,CVCL_0320,(R)-Verapamil (hydrochloride),10,0.3333333333333333,0.6666666666666666,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0320,Berbamine,12,0.6666666666666666,0.5,0.5,0.16666666666666666,,,,,,
tier2_unseen_drugs,CVCL_0320,Baicalin,13,0.8333333333333334,0.5,0.16666666666666666,0.3333333333333333,,,,,,
tier2_unseen_drugs,CVCL_0320,Lipoic acid,15,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,,,,,,
tier2_unseen_drugs,CVCL_1098,Saquinavir,10,0.8571428571428571,1.0,0.7142857142857143,0.7142857142857143,,,,,,
tier2_unseen_drugs,CVCL_1098,Almonertinib (hydrochloride),9,0.7142857142857143,0.42857142857142855,0.5714285714285714,0.0,,,,,,
tier2_unseen_drugs,CVCL_1098,Azithromycin (hydrate),13,1.0,0.8571428571428571,0.14285714285714285,0.2857142857142857,,,,,,
tier2_unseen_drugs,CVCL_1098,(R)-Verapamil (hydrochloride),9,1.0,0.14285714285714285,0.2857142857142857,0.0,,,,,,
tier2_unseen_drugs,CVCL_1098,Clonidine (hydrochloride),10,0.0,0.2857142857142857,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1098,Berbamine,8,0.7142857142857143,0.5714285714285714,0.42857142857142855,0.0,,,,,,
tier2_unseen_drugs,CVCL_1098,Baicalin,9,0.14285714285714285,0.2857142857142857,0.8571428571428571,0.0,,,,,,
tier2_unseen_drugs,CVCL_1098,Lipoic acid,9,0.0,0.42857142857142855,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1056,Aliskiren,12,0.625,0.375,0.875,0.125,,,,,,
tier2_unseen_drugs,CVCL_1056,Saquinavir,9,0.375,0.75,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1056,Azithromycin (hydrate),9,0.0,0.0,0.625,0.0,,,,,,
tier2_unseen_drugs,CVCL_1056,(R)-Verapamil (hydrochloride),15,1.0,1.0,0.375,0.875,,,,,,
tier2_unseen_drugs,CVCL_1056,Clonidine (hydrochloride),8,0.375,0.0,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_1056,Berbamine,10,0.5,0.625,0.125,0.125,,,,,,
tier2_unseen_drugs,CVCL_1056,Baicalin,11,0.625,0.25,0.75,0.125,,,,,,
tier2_unseen_drugs,CVCL_1056,Lipoic acid,11,0.5,0.5,0.25,0.25,,,,,,
tier2_unseen_drugs,CVCL_1056,Anethole trithione,17,1.0,0.75,0.875,0.875,,,,,,
tier2_unseen_drugs,CVCL_0069,Almonertinib (hydrochloride),12,1.0,1.0,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_0069,Berbamine,8,0.5,0.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0069,Clonidine (hydrochloride),8,0.5,0.5,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0292,Clonidine (hydrochloride),12,1.0,1.0,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_0292,Lipoic acid,8,0.0,0.0,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_0292,Anethole trithione,11,0.5,0.5,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1717,Tolcapone,8,0.16666666666666666,0.16666666666666666,0.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1717,Aliskiren,10,0.6666666666666666,0.5,1.0,0.0,,,,,,
tier2_unseen_drugs,CVCL_1717,Almonertinib (hydrochloride),11,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.16666666666666666,,,,,,
tier2_unseen_drugs,CVCL_1717,Azithromycin (hydrate),14,1.0,1.0,0.16666666666666666,0.6666666666666666,,,,,,
tier2_unseen_drugs,CVCL_1717,Baicalin,10,0.6666666666666666,0.6666666666666666,0.5,0.0,,,,,,
tier2_unseen_drugs,CVCL_1717,Anethole trithione,8,0.16666666666666666,0.0,0.3333333333333333,0.0,,,,,,
